Judul,Harga,Lokasi,Kota,Provinsi,Tipe Properti,Kamar Tidur,Kamar Mandi,Luas Total,Lantai,Tahun Dibangun,Sertifikat,Nama Agen,Tanggal Posting,Link
Dijual Apartemen di Jakarta Pusat 1BR simple cozy - Nego sampe Deal,"Rp 1,05M","Kebon Melati, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,42 m²,,2009,SHM,Prisilia,21 Mei 2026,https://www.lamudi.co.id/properti/41032-73-54eb78860c50-919c-19e4a39-a634-775e
DIJUAL Hunian Cantik di Apartment Nifarro Park Tower Eboni Studio Loft 1 BR Lantai 2 Mezzanine,"Rp 1,25M","RW 04, Pejaten Timur, Pasar Minggu, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,40 m²,2,,,Miranda - Ricky- Ray White Bona Indah Lebak Bulus,"3 minggu, 8 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-ebca408b0bf2-e172-5b00c168-88a8-4cfa
Dijual apartemen Podomoro Golf View type 2BR Full furnished,Rp 360Jt,"Podomoro Golf View, Bojong Nangka, Gunung Putri, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,8,,PPJB,Yulius - Rei & Kei Property,6 Apr 2026,https://www.lamudi.co.id/properti/41032-73-f472a754bd5c-bfde-19d62c9-977c-78c8
Jual Rugi Apartemen Skyhouse BSD Studio Furnished,Rp 390Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,,1 kamar mandi,21 m²,23,,Strata,Atlantis Realty,"2 hari, 5 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-afc0a127e40d-9e35-19f1831-9520-7e23
DI JUAL MURAH APARTEMEN GREEN PALACE KALIBATA CITY TOWER LOTUS JAKARTA SELATAN,Rp 418Jt,"RW 08, Kalibata, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,33 m²,20,2009,SHM,MARVEL JAYA PROPERTY,28 Feb 2024,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/di-jual-apartemen-kalibata-city-tower-lotus-green-175429989283/
Dijual Apartment 2Br Full Furnished Springlake Bekasi,Rp 465Jt,"Summarecon Bekasi, Tytyan Indah, Summarecon, Harapan Mulya, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,42 m²,8,,,Christi Properti,11 Jan 2026,https://www.lamudi.co.id/properti/41032-73-98884e3c5288-5e63-19bacf7-a832-78c0
dijual cepat Apartemen 2BR fullfurnise murah,Rp 760Jt,"Sentul City, Cijayanti, Babakan Madang, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,42 m²,1,2019,SHM,Novi-Reikei Property,19 Apr 2026,https://www.lamudi.co.id/properti/41032-73-bcaff8872838-24ee-19da539-95b9-71e9
jual apart GREEN PALACE studio KALCIT shm view danau serta kota,"Rp 314,97Jt","RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,21 m²,19,,SHM,s W p  Property,8 Jan 2026,https://www.lamudi.co.id/properti/41032-73-c6a13a901884-379f-19b9f62-afd5-778e
"APARTEMEN AYOMA STUDIO FURNISHED, JL CIATER BARAT BSD TANGSEL",Rp 525Jt,"BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,29 m²,11,,,Star Pro Realty - EUISNOVI,29 Agu 2025,https://www.lamudi.co.id/jual/banten/tangerang-selatan/apartemen-ayoma-studio-furnished-jl-ciater-barat-b-175646095525/
Dijual Turun harga Apartemen Tamansari Sudirman type studio,Rp 630Jt,"RW 01, Karet Kuningan, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,28 m²,9,,,PT. KITA JAYA REALTI,16 Jun 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-turun-harga-apartemen-tamansari-sudirman-ty-17500477950/
Dijual Apartemen Gading Nias Residences,Rp 210Jt,"RW 25, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,30 m²,20,,SHM,Millenium Property,10 Okt 2024,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/disewakan-apartemen-gading-nias-reaidences-172855382552/
Best Deal 2 Kamar Tidur Condo Taman Anggrek Unit Istimewa,"Rp 2,70M","RW 01, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,99 m²,25,2019,Strata,Signature Property Agent,"1 minggu, 1 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-9c593afa51ed-7a3f-19ef9d0-8491-761b
"Apartemen 1BR di kemayoran,Full furnished lengkap.",Rp 300Jt,"RW 06, Kebon Kosong, Kemayoran, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,31 m²,30,,,Independent Agent - Lie Chensing,23 Sep 2025,https://www.lamudi.co.id/properti/41032-73-f598bf97b7c4-6d10-19975e3-aad8-76c2
JUAL MURAH Apt di BSD Fully Furnished BAGUS,Rp 250Jt,"Lengkong Gudang Timur, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,1 kamar tidur,1 kamar mandi,23 m²,29,,,Alfaland Pro,21 Des 2025,https://www.lamudi.co.id/properti/41032-73-d48b6e11e5e2-b521-19b406a-b47e-7696
Dijual Termurah Unit 2Br Fullfurnish Corner di Madison Park,"Rp 1,02M","RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,45 m²,10,,,Century 21 Zawa,13 Nov 2025,https://www.lamudi.co.id/properti/41032-73-2e592924d59e-58c5-19a7dd7-a176-7596
apartemen waterplace tower E 22,Rp 650Jt,"Pakuwon Indah, RW 06, Lidah Wetan, Lakarsantri, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2 Kamar Tidur,1 kamar mandi,48 m²,22,,,theo-chris,11 Agu 2025,https://www.lamudi.co.id/jual/jawa-timur/surabaya/apartemen-waterplace-tower-e-22-175489624277/
Turun Harga Paladian Semi Furnished Siap Huni,"Rp 1,25M","RW 21, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,2 Kamar Mandi,128 m²,17,,SHM,Citi Property,25 Agu 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-utara/paladian-full-furnished-siap-huni-175697587577/
Jual 2 Bedroom Furnished Lantai 16 Tower F Apartemen Bassura City,Rp 450Jt,"Bassura City, Cipinang Besar Selatan, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,34 m²,16,2017,PPJB,KANG ICAL - Annas Property,9 Jun 2026,https://www.lamudi.co.id/properti/41032-73-bbc3ff20ad25-1bde-19eac9c-aca2-7076
Apartemen Sherwood 2BR Furnished Lantai 18 Di Kelapa Gading,"Rp 1,80M","RW 06, Kelapa Gading Barat, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,90 m²,0,,,Century 21 Universal,"3 hari, 6 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-ffc50f2f8b80-ab40-fe2ee10b-850e-4267
"Dijual Apartemen Gold Coast Pik 3br full furnished interior, sea view","Rp 2,70M","RW 03, Kamal Muara, Penjaringan, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,2 Kamar Mandi,81 m²,,,,Oktavia - Gading Pro,8 Jan 2026,https://www.lamudi.co.id/properti/41032-73-1a11c33b6b12-85aa-19b8f0f-a752-7497
Apartemen Amega Sidoarjo – AP001ARB,Rp 19Jt/tahun,"Tambak Oso, Waru, Sidoarjo, Jawa Timur",Sidoarjo,Jawa Timur,Apartemen,1 kamar tidur,1 kamar mandi,28 m²,1,,Strata,PROPTIC diamond,15 Mei 2026,https://www.lamudi.co.id/properti/41032-73-fc40206159cb-e8b2-19e2ac2-a9cd-710e
Jual 2 Bedrooms Furnished diatas Alfamart Bassura City Apartemen,Rp 475Jt,"Bassura City, Cipinang Besar Selatan, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,34 m²,22,2017,,Kang Ocid - Anas Property,21 Feb 2026,https://www.lamudi.co.id/properti/41032-73-eeed9b2e05c5-2e3a-19c7e34-ac32-760a
Dijual 2 Bedroom Tamansari Hive Lokasi Strategis di Cawang Dekat Bandara Halim Perdanakusuma,"Rp 1,55M","RW 11, Cipinang Cempedak, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,60 m²,18,2018,SHM,Rayaroom_allproperty,31 Mei 2026,https://www.lamudi.co.id/properti/41032-73-4541e69197dc-efb3-19e7dd7-b80e-745d
"Dijual Cepat dan Murah Apartemen 4BR, lt.6, pool view, di Hamptons Park Pondok indah","Rp 2,80M","RW 10, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,4 Kamar Tidur,2 Kamar Mandi,138 m²,6,,,Karin - Ray White Lebak Bulus,6 Feb 2026,https://www.lamudi.co.id/properti/41032-73-25b81b67e7c8-966-19c31ea-978a-7252
HOT DEAL!! DIJUAL MURAH STUDIO SERTIFIKAT TAMAN ANGGREK RESIDENCE,Rp 680Jt,"RW 07, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,1 kamar tidur,1 kamar mandi,26 m²,50,,,Vannie Sie - Glow Property,8 Sep 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-barat/hot-deal-dijual-murah-studio-sertifikat-taman-angg-175732736313/
Parahyangan Residences Jual Cepat 2Br Modern 550 Juta,Rp 550Jt,"Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,41 m²,15,2020,SHM,Dani Tan,"2 hari, 12 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-f7e697210f85-5d7d-19f16a3-80d9-77fc
Apartemen Bassura City 3 Bedroom Lantai Rendah SHM Samping Mall,Rp 650Jt,"Bassura City, Cipinang Besar Selatan, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,1 kamar mandi,42 m²,5,2017,SHM,KANG ICAL - Annas Property,"1 minggu, 5 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-a8793e99342b-1b00-19ee2fe-8c70-753c
Jual Kios Sky view muraah,Rp 150Jt,"Apartement Akasa Serpong, Lengkong Gudang Timur, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,,,18 m²,1,2007,PPJB,Ray White Golden BSD,19 Apr 2026,https://www.lamudi.co.id/properti/41032-73-f61c2c1bce23-8436-19da6bc-831b-789e
2 Bedroom Di Atas Mall View Sky Garden Apartemen Bassura City,Rp 465Jt,"Bassura City, Cipinang Besar Selatan, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,30 m²,27,2017,SHM,KANG ICAL - Annas Property,"1 minggu, 6 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-3f872602207a-d7f7-19ee075-8766-7e57
APARTEMEN DIJUAL DI JOGJA DEKAT KAMPUS STIE YKPN,Rp 450Jt,"Kledokan, Catur Tunggal, Depok, Sleman, Daerah Istimewa Yogyakarta",Sleman,Daerah Istimewa Yogyakarta,Apartemen,1 kamar tidur,1 kamar mandi,28 m²,2,,,Andreas Denny - Era iRea Solo,23 Jan 2026,https://www.lamudi.co.id/properti/41032-73-7db31b742ff9-7e4c-19bcd1a-9a9c-7206
Dijual Apartmen Bassura city 2 Kamar Furnished,Rp 425Jt,"RW 10, Cipinang Besar Selatan, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,34 m²,29,2016,PPJB,Aida - Annas Property,"1 minggu, 6 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-645bd62bc6c-5a65-19ede80-9e67-7d73
termurah! apartemen 2 br furnish casablanca bandung utara,"Rp 599,90Jt","Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,2 Kamar Tidur,2 Kamar Mandi,64 m²,7,,,Nellux Property,25 Mei 2026,https://www.lamudi.co.id/properti/41032-73-643c0b6c2dd5-10047-19e5fb2-a86e-7341
"Dijual Apartemen Epicentrum, Kuningan","Rp 1,50M","Mega Kuningan, Kuningan Timur, Setiabudi, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,73 m²,0,,,Maria Theresia Ray White Kelapa Gading,"6 hari, 6 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-e9aa1044909e-ccd9-e0742666-98e2-46cc
jual apart kalibata city GREEN PALACE 3kamar ppjb,"Rp 582,49Jt","RW 04, Rawajati, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,1 kamar mandi,50 m²,10,,SHM,s W p  Property,10 Jun 2026,https://www.lamudi.co.id/properti/41032-73-5bbfbfeab84e-ec79-19eb1e4-ada1-7226
Y. DIJUAL APARTEMEN FURNISH 100 % BARU GALERI CIUMBULEUIT 2 (GCA2) BANDUNG TIPE STUDIO,Rp 375Jt,"Hegarmanah, Cidadap, Kota Bandung, Jawa Barat",Kota Bandung,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,31 m²,26,,Strata,Yovie Fame Property,7 Mei 2026,https://www.lamudi.co.id/properti/41032-73-5f7bc8dfa9c1-ab78-19e01bc-a62b-7265
Apartemen Full Furnished 2 BR di Podomoro Golf View Depok,Rp 270Jt,"Podomoro Golf View, Bojong Nangka, Gunung Putri, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,30 m²,27,,PPJB,Yanto Gading Pro,30 Nov 2025,https://www.lamudi.co.id/properti/41032-73-d7c87418e448-b95b-19ad473-b407-78c9
Dijual murah apartemen kensington royal suites,"Rp 1,65M","RW 01, Kelapa Gading Timur, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,63 m²,,,HGB,Vivi - Asia One Property,11 Apr 2026,https://www.lamudi.co.id/properti/41032-73-b5e0a5bca6a-7786-19d7c29-93cc-7487
JUAL MURAH APARTEMEN GADING NIAS 2 BR SERTIFIKAT,Rp 185Jt,"RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,9,2010,,Jerry Rawis - BLESSING PROPERTY,12 Jan 2026,https://www.lamudi.co.id/properti/41032-73-b4d9d1c1543-8f9d-19bb19a-bbd2-7110
JUAL CEPAT TOWER BOUGENVILLE GADING NIAS UNFURNISHED,Rp 175Jt,"RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,20,2010,,Jerry Rawis - BLESSING PROPERTY,12 Jan 2026,https://www.lamudi.co.id/properti/41032-73-31de005a82fe-980-19bb1a4-aa8b-7d8e
Disewakan/ Dijual Apartemen Kondominium Juanda Semi Furnish Strategis Jakarta Pusat Bisa Nego,Rp 60Jt/tahun,"RW 04, Petojo Selatan, Gambir, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,3 Kamar Mandi,138 m²,15,,HGB,REMAX FAST JUANDA,26 Mei 2026,https://www.lamudi.co.id/properti/41032-73-d3e82cd933d5-3bf2-51af7c39-997b-47c3
Jual Apartemen Seasons City Dijual Tower B 3BR 4BR Season,Rp 845Jt,"RW 05, Jembatan Besi, Tambora, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,3 Kamar Mandi,75 m²,9,2008,SHM,MAXLAND 88,"2 minggu, 3 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-4978191ed714-9a93-19eca0b-a85a-7457
Di jual Apartemen PGV type 2BR Semi furnished,Rp 350Jt,"Podomoro Golf View, Bojong Nangka, Gunung Putri, Kab Bogor, Jawa Barat",Kab Bogor,Jawa Barat,Apartemen,2 Kamar Tidur,1 kamar mandi,34 m²,17,,PPJB,Yulius - Rei & Kei Property,13 Mei 2026,https://www.lamudi.co.id/properti/41032-73-14da12a267b4-52f1-19e2065-9f62-7e42
Dijual Apartement kemang village tower cosmo  3305,"Rp 2,10M","RW 05, Bangka, Mampang Prapatan, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,3 Kamar Tidur,3 Kamar Mandi,100 m²,33,,,Propnex Indonesia,16 Agu 2024,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/dijual-apartement-kemang-village-tower-cosmo-3305-172378968458/
#0128 DIJUAL APARTEMEN SKY HOUSE BSD LT. 8 TIPE STUDIO,Rp 450Jt,"BSD Grand CBD, BSD City, Sampora, Cisauk, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,1 kamar tidur,1 kamar mandi,21 m²,8,,PPJB,Remax Grow,3 Apr 2026,https://www.lamudi.co.id/properti/41032-73-211405a027e0-a7b4-c08412a6-9387-4537
"Apartemen The Archies Sudirman, Penjernihan",Rp 899Jt,"RW 05, Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,,1 kamar mandi,24 m²,0,,,Brigita Ray White Kelapa Gading,18 Feb 2026,https://www.lamudi.co.id/properti/41032-73-eebdfca2e544-be67-839b6ae5-8e87-476f
Jual Rugi Mtown Residence 2 BR Kosongan Tower Carmel Gading Serpong,Rp 520Jt,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,45 m²,11,,PPJB,Quality Property Indonesia - Julia Chia,13 Apr 2026,https://www.lamudi.co.id/properti/41032-73-46857e07f13c-dda7-19d851d-a024-7119
Dijual Apartemen Stature Menteng,"Rp 4,70M","RW 01, Cikini, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,145 m²,,,HGB,Cindy Julitan,4 Mei 2026,https://www.lamudi.co.id/properti/41032-73-9cd41fb2519f-2630-19df212-9424-7422
Jual Apartement Springlake Studio Kosongan Murah View Pool Lantai Rendah Harga Di Bawah Pasaran,Rp 230Jt,"Rawa Bugel, Perwira, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,21 m²,8,2017,PPJB,Fenti - Era Expert,"1 minggu, 1 hari yang lalu",https://www.lamudi.co.id/properti/41032-73-207cb3f5e29-c1b4-19ef880-9ffa-7228
#0130 DIJUAL APARTEMEN ROSEVILLE SOHO & SUITES BSD TIPE 1BR UNIT LANTAI RENDAH LOKASI STRATEGIS,Rp 690Jt,"BSD Sunburst CBD, Babakan, BSD City, Serpong, Tangerang Selatan, Banten",Tangerang Selatan,Banten,Apartemen,1 kamar tidur,1 kamar mandi,40 m²,11,,Strata,Remax Grow,3 Apr 2026,https://www.lamudi.co.id/properti/41032-73-f3cac89a4c1b-649e-7083965-9139-49d4
DIJUAL APARTMENT CANTIK SIAP HUNI VIEW KOTA DI HAMPTONS PARK PONDOK INDAH,"Rp 2,80M","RW 10, Cilandak Barat, Cilandak, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,4 Kamar Tidur,2 Kamar Mandi,138 m²,,,SHM,Keisya Aulia - Ray White Metro Pondok Indah,11 Apr 2026,https://www.lamudi.co.id/properti/41032-73-af82bead1c14-b199-19d7bf0-a62c-74f4
"Dijual 2 Bedroom Oak Tower B Full Furnish - Unit Premium, Dekat Halte Busway, Pulo Gadung",Rp 575Jt,"RW 02, Pulo Gadung, Pulo Gadung, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,42 m²,5,,SHM,REMAX FAST OAK TOWER,4 Mei 2026,https://www.lamudi.co.id/properti/41032-73-e00b1f17c831-bbe-19df300-9b02-74f1
JUAL MURAH GRAND EMERALD FULL FURNISHED SERTIFIKAT,Rp 330Jt,"RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,16,2013,,Jerry Rawis - BLESSING PROPERTY,3 Mar 2026,https://www.lamudi.co.id/properti/41032-73-13d3f525d7cb-55bf-19cb1f4-b63e-73fd
madison park Jual 2 bedroom furnish murah,"Rp 1,05M","RW 06, Tanjung Duren Selatan, Grogol Petamburan, Jakarta Barat, Daerah Khusus Ibukota Jakarta",Jakarta Barat,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,2 Kamar Mandi,49 m²,,2017,PPJB,Glow Property,"3 minggu, 8 jam yang lalu",https://www.lamudi.co.id/properti/41032-73-c5f34e2e7f51-4000-19eb5a1-a09c-7427
JUAL CEPAT!!! Apartemen Green Pramuka City Harga Murah Full Furnish Lantai Rendah,Rp 365Jt,"RW 02, Cempaka Putih Timur, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,33 m²,3,,SHM,Wee_nda Green Pramuka,27 Okt 2025,https://www.lamudi.co.id/properti/41032-73-fa0f5e4417e0-e0c3-19a2660-acd6-7fa4
Apartemen kalibata green palace 2 kamar,Rp 420Jt,"RW 08, Kalibata, Pancoran, Jakarta Selatan, Daerah Khusus Ibukota Jakarta",Jakarta Selatan,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,33 m²,19,,SHM,Firman-SHN,19 Jun 2025,https://www.lamudi.co.id/jual/jakarta/jakarta-selatan/apartemen-kalibata-green-palace-2-kamar-175032596592/
TERMURAH‼️Sudah shrma dan sudah renovasi dijual apartemen gunawangsa merr 2 BR,Rp 330Jt,"RW 04, Kedung Baruk, Rungkut, Surabaya, Jawa Timur",Surabaya,Jawa Timur,Apartemen,2 Kamar Tidur,1 kamar mandi,43 m²,10,,SHM,Felia,4 hari yang lalu,https://www.lamudi.co.id/properti/41032-73-936c979f4c1-9c61-19f0ef2-b469-7224
APARTEMEN DIJUAL DI SOLO DEKAT TRANSMART PABELAN,Rp 345Jt,"Pabelan, Sukoharjo, Jawa Tengah",Sukoharjo,Jawa Tengah,Apartemen,1 kamar tidur,1 kamar mandi,26 m²,,,Strata,Andreas Denny - Era iRea Solo,13 Mar 2026,https://www.lamudi.co.id/properti/41032-73-7ff062d6389d-f08c-19ce5b9-8c00-7848
Jual Midtown Apartment Gading Serpong,Rp 675Jt,"Gading Serpong, Pakulonan Barat, Kelapa Dua, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,3 Kamar Tidur,2 Kamar Mandi,54 m²,25,,,Ray White Alam Sutera,12 Nov 2025,https://www.lamudi.co.id/properti/41032-73-2c2d3c81c2cf-626-19a7623-b04a-775e
Jual Apartemen Bassura City 2 Bedroom Di Atas Mall SHM Cash Kredit bank,Rp 499Jt,"Bassura City, Cipinang Besar Selatan, Jatinegara, Jakarta Timur, Daerah Khusus Ibukota Jakarta",Jakarta Timur,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,30 m²,22,2017,SHM,KANG ICAL - Annas Property,10 Mei 2026,https://www.lamudi.co.id/properti/41032-73-eba503ae50a3-4894-19e1030-8ec9-7355
Dijual Apartemen Springlake Type Studio Fresia,Rp 350Jt,"Summarecon Bekasi, Rawa Bugel, Summarecon, Bekasi, Jawa Barat",Bekasi,Jawa Barat,Apartemen,1 kamar tidur,1 kamar mandi,,18,,,Christi Properti,12 Mar 2026,https://www.lamudi.co.id/properti/41032-73-e75736ed7d87-ffaf-19cdfcb-a5dc-7735
Dijual Apartemen 2 Bedrooms di  tokyo riverside PIK 2 harga paling murah,Rp 430Jt,"Muara, Pantai Indah Kapuk 2, Muara, Teluknaga, Kabupaten Tangerang, Banten",Kabupaten Tangerang,Banten,Apartemen,2 Kamar Tidur,1 kamar mandi,36 m²,10,,PPJB,Vannez Cong,17 Mei 2026,https://www.lamudi.co.id/properti/41032-73-f10fac9aede7-a607-19e33b9-bdfd-7b7c
Disewa Dijual Apartemen Gading Nias Kelapa Gading Dahlia Lantai 15 KPA Dibantu Proses LB 35 M2 2 KT,Rp 18Jt/tahun,"RW 03, Pegangsaan Dua, Kelapa Gading, Jakarta Utara, Daerah Khusus Ibukota Jakarta",Jakarta Utara,Daerah Khusus Ibukota Jakarta,Apartemen,2 Kamar Tidur,1 kamar mandi,35 m²,15,,,Budi - Remax Linda Pro,3 Mar 2026,https://www.lamudi.co.id/properti/41032-73-e35e5a6588c7-4366-19cb4c4-89c0-706c
